key,alias,moment,subject,text,score,recommended
# Base entity
review-01,John,2024/05/19 12:31,Lorem ipsum,Lorem ipsum,7,true
# name - standard variations
review-02,L,2024/01/01 00:00,Lorem ipsum,Lorem ipsum,5,false
review-03,Lo,2024/01/01 00:00,Lorem ipsum,Lorem ipsum,5,false
review-04,"Lorem ipsum dolor sit amet, consectetuer adipisci",2024/01/01 00:00,Lorem ipsum,Lorem ipsum,5,false
review-05,"Lorem ipsum dolor sit amet, consectetuer adipiscin",2024/01/01 00:00,Lorem ipsum,Lorem ipsum,5,false
review-06,洛伦·伊普森,2024/01/01 00:00,Lorem ipsum,Lorem ipsum,5,false
review-07,โลเร็ม อิปซัม,2024/01/01 00:00,Lorem ipsum,Lorem ipsum,5,false
review-08,لوريم إيبسوم,2024/01/01 00:00,Lorem ipsum,Lorem ipsum,5,false
review-09,<b>Hacked</b>,2024/01/01 00:00,Lorem ipsum,Lorem ipsum,5,false
review-10,<script>alert(1)</script>,2024/01/01 00:00,Lorem ipsum,Lorem ipsum,5,false
review-11,' or 'A' = 'A,2024/01/01 00:00,Lorem ipsum,Lorem ipsum,5,false
# name - no singular values
# moment - standard variations
review-12,Lorem ipsum,2000/01/01 00:00,Lorem ipsum,Lorem ipsum,5,false
review-13,Lorem ipsum,2000/01/01 00:01,Lorem ipsum,Lorem ipsum,5,false
review-14,Lorem ipsum,2024/12/31 23:59,Lorem ipsum,Lorem ipsum,5,false
review-15,Lorem ipsum,2025/01/01 00:00,Lorem ipsum,Lorem ipsum,5,false
# foundation - singular values
review-16,Lorem ipsum,2012/12/12 12:12,Lorem ipsum,Lorem ipsum,5,false
review-17,Lorem ipsum,2008/09/15 19:35,Lorem ipsum,Lorem ipsum,5,false
# subject - standard variations
review-18,Lorem ipsum,2024/01/01 00:00,L,Lorem ipsum,5,false
review-19,Lorem ipsum,2024/01/01 00:00,Lo,Lorem ipsum,5,false
review-20,Lorem ipsum,2024/01/01 00:00,"Lorem ipsum dolor sit amet, consectetuer adipisci",Lorem ipsum,5,false
review-21,Lorem ipsum,2024/01/01 00:00,"Lorem ipsum dolor sit amet, consectetuer adipiscin",Lorem ipsum,5,false
review-22,Lorem ipsum,2024/01/01 00:00,洛伦·伊普森,Lorem ipsum,5,false
review-23,Lorem ipsum,2024/01/01 00:00,โลเร็ม อิปซัม,Lorem ipsum,5,false
review-24,Lorem ipsum,2024/01/01 00:00,لوريم إيبسوم,Lorem ipsum,5,false
review-25,Lorem ipsum,2024/01/01 00:00,<b>Hacked</b>,Lorem ipsum,5,false
review-26,Lorem ipsum,2024/01/01 00:00,<script>alert(1)</script>,Lorem ipsum,5,false
review-27,Lorem ipsum,2024/01/01 00:00,' or 'A' = 'A,Lorem ipsum,5,false
# subject - no singular values
# text - standard variations
review-28,Lorem ipsum,2024/01/01 00:00,Lorem ipsum,L,5,false
review-29,Lorem ipsum,2024/01/01 00:00,Lorem ipsum,Lo,5,false
review-30,Lorem ipsum,2024/01/01 00:00,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis",5,false
review-31,Lorem ipsum,2024/01/01 00:00,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis,",5,false
review-32,Lorem ipsum,2024/01/01 00:00,Lorem ipsum,洛伦·伊普森,5,false
review-33,Lorem ipsum,2024/01/01 00:00,Lorem ipsum,โลเร็ม อิปซัม,5,false
review-34,Lorem ipsum,2024/01/01 00:00,Lorem ipsum,لوريم إيبسوم,5,false
review-35,Lorem ipsum,2024/01/01 00:00,Lorem ipsum,<b>Hacked</b>,5,false
review-36,Lorem ipsum,2024/01/01 00:00,Lorem ipsum,<script>alert(1)</script>,5,false
review-37,Lorem ipsum,2024/01/01 00:00,Lorem ipsum,' or 'A' = 'A,5,false
# text - no singular values
# score - standard variations
review-38,Lorem ipsum,2024/01/01 00:00,Lorem ipsum,Lorem ipsum,0,false
review-39,Lorem ipsum,2024/01/01 00:00,Lorem ipsum,Lorem ipsum,0.01,false
review-40,Lorem ipsum,2024/01/01 00:00,Lorem ipsum,Lorem ipsum,9.99,false
review-41,Lorem ipsum,2024/01/01 00:00,Lorem ipsum,Lorem ipsum,10,false
review-42,Lorem ipsum,2024/01/01 00:00,Lorem ipsum,Lorem ipsum,null,false
# score - no singular values
# recommended - standard variations
review-43,Lorem ipsum,2024/01/01 00:00,Lorem ipsum,Lorem ipsum,5,true
review-44,Lorem ipsum,2024/01/01 00:00,Lorem ipsum,Lorem ipsum,5,false
review-45,Lorem ipsum,2024/01/01 00:00,Lorem ipsum,Lorem ipsum,5,null
